date_rptd,area_name,crm_cd,vict_age,vict_sex,vict_descent,lat,lon,weapons_used_cd,Year
2023-10-30T00:00:00.000,Hollenbeck,354,22,F,H,34.0209,-118.21,,2020
2022-01-19T00:00:00.000,Newton,354,33,M,B,34.0168,-118.2558,,2020
2020-05-22T00:00:00.000,Pacific,626,22,M,B,33.9431,-118.401,,2020
2023-06-24T00:00:00.000,Hollenbeck,354,38,F,H,34.0857,-118.1655,,2020
2021-08-13T00:00:00.000,Devonshire,440,36,M,O,34.2213,-118.4809,,2020
2022-05-17T00:00:00.000,Southeast,845,0,X,X,33.9401,-118.2761,,2020
2022-03-05T00:00:00.000,Hollywood,230,52,M,W,34.1032,-118.3387,,2020
2023-07-28T00:00:00.000,N Hollywood,354,29,M,B,34.1681,-118.3704,,2020
2023-03-09T00:00:00.000,Mission,310,54,M,H,34.2283,-118.4286,,2020
2022-01-30T00:00:00.000,Olympic,354,42,M,B,34.0453,-118.2864,,2020
2023-10-11T00:00:00.000,Southeast,354,41,M,B,33.9347,-118.2848,,2020
2023-03-24T00:00:00.000,Wilshire,662,43,M,H,34.0515,-118.3219,,2020
2023-11-09T00:00:00.000,Foothill,354,33,F,W,34.2278,-118.3622,,2020
2023-12-26T00:00:00.000,West LA,354,0,X,X,34.0484,-118.4544,,2020
2022-04-12T00:00:00.000,Hollywood,649,57,F,W,34.0917,-118.3244,,2020
2022-01-25T00:00:00.000,West Valley,354,45,F,W,34.166,-118.5033,,2020
2023-01-06T00:00:00.000,77th Street,354,22,F,O,33.9817,-118.3279,,2020
2023-01-16T00:00:00.000,77th Street,354,24,F,B,33.9746,-118.3188,,2020
2021-08-02T00:00:00.000,Newton,928,27,F,W,33.9765,-118.2789,,2020
2022-05-17T00:00:00.000,Harbor,510,0,,,33.791,-118.2469,,2020
2023-04-07T00:00:00.000,Wilshire,354,48,F,W,34.0692,-118.3472,,2020
2022-05-11T00:00:00.000,Devonshire,341,37,M,H,34.2675,-118.6005,,2020
2023-10-02T00:00:00.000,77th Street,354,42,F,B,33.997,-118.2871,,2020
2023-04-15T00:00:00.000,Southwest,354,30,F,O,34.0128,-118.3447,,2020
2022-02-01T00:00:00.000,Harbor,627,12,M,H,33.8201,-118.3015,,2020
2023-03-30T00:00:00.000,Northeast,624,40,M,H,34.117,-118.2717,,2020
2021-12-09T00:00:00.000,77th Street,354,21,M,H,33.9728,-118.3046,,2020
2022-12-22T00:00:00.000,77th Street,510,0,,,33.9774,-118.2827,,2020
2023-04-28T00:00:00.000,Southeast,354,42,M,B,33.9509,-118.2546,,2020
2022-07-18T00:00:00.000,Hollenbeck,310,68,M,H,34.0659,-118.1802,,2020
2023-06-08T00:00:00.000,Wilshire,121,18,F,B,34.0555,-118.3762,,2020
2022-02-04T00:00:00.000,N Hollywood,230,39,F,H,34.1522,-118.3593,,2020
2023-01-28T00:00:00.000,Olympic,354,31,F,H,34.0446,-118.3003,,2020
2023-04-07T00:00:00.000,Newton,354,45,M,H,33.9833,-118.2765,,2020
2023-06-08T00:00:00.000,Topanga,624,81,M,W,34.1732,-118.6152,,2020
2023-02-19T00:00:00.000,Southwest,354,54,F,K,34.0332,-118.3375,,2020
